id,domain,objectives,title,filename,destination,page_path
DEA-PO-02,D2,2.2,Compute Scaling & Cost,dea-po-02-compute-scaling-cost.png,src/assets/snowflake/data-engineer/d2-performance-optimization/dea-po-02-compute-scaling-cost.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-po-02-compute-scaling-cost/
DEA-PO-03,D2,2.2,Optimization Services Decision,dea-po-03-optimization-services-decision.png,src/assets/snowflake/data-engineer/d2-performance-optimization/dea-po-03-optimization-services-decision.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-po-03-optimization-services-decision/
DEA-PO-04,D2,2.3,Pipeline Observability & Data Quality,dea-po-04-pipeline-observability-data-quality.png,src/assets/snowflake/data-engineer/d2-performance-optimization/dea-po-04-pipeline-observability-data-quality.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-po-04-pipeline-observability-data-quality/
DEA-SP-01,D3,3.1,Recovery & Replication Boundaries,dea-sp-01-recovery-replication-boundaries.png,src/assets/snowflake/data-engineer/d3-storage-data-protection/dea-sp-01-recovery-replication-boundaries.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-sp-01-recovery-replication-boundaries/
DEA-SP-02,D3,3.2,Micro-partition & Clustering Analysis,dea-sp-02-micro-partition-clustering-analysis.png,src/assets/snowflake/data-engineer/d3-storage-data-protection/dea-sp-02-micro-partition-clustering-analysis.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-sp-02-micro-partition-clustering-analysis/
DEA-SP-03,D3,3.3,Clone-based Development & Rollback,dea-sp-03-clone-based-development-rollback.png,src/assets/snowflake/data-engineer/d3-storage-data-protection/dea-sp-03-clone-based-development-rollback.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-sp-03-clone-based-development-rollback/
DEA-GV-01,D4,4.1,"Classification, Lineage & Quality",dea-gv-01-classification-lineage-quality.png,src/assets/snowflake/data-engineer/d4-data-governance/dea-gv-01-classification-lineage-quality.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-gv-01-classification-lineage-quality/
DEA-GV-02,D4,4.2,Policy-based Data Protection,dea-gv-02-policy-based-data-protection.png,src/assets/snowflake/data-engineer/d4-data-governance/dea-gv-02-policy-based-data-protection.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-gv-02-policy-based-data-protection/
DEA-GV-03,D4,4.2,Federation & Clean Room Collaboration,dea-gv-03-federation-clean-room-collaboration.png,src/assets/snowflake/data-engineer/d4-data-governance/dea-gv-03-federation-clean-room-collaboration.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-gv-03-federation-clean-room-collaboration/
DEA-DT-01,D5,5.1,UDF Family Selection,dea-dt-01-udf-family-selection.png,src/assets/snowflake/data-engineer/d5-data-transformation/dea-dt-01-udf-family-selection.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dt-01-udf-family-selection/
DEA-DT-02,D5,5.2,External Function & API Boundary,dea-dt-02-external-function-api-boundary.png,src/assets/snowflake/data-engineer/d5-data-transformation/dea-dt-02-external-function-api-boundary.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dt-02-external-function-api-boundary/
DEA-DT-03,D5,5.3,Stored Procedures & Transactions,dea-dt-03-stored-procedures-transactions.png,src/assets/snowflake/data-engineer/d5-data-transformation/dea-dt-03-stored-procedures-transactions.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dt-03-stored-procedures-transactions/
DEA-DT-04,D5,5.4,Semi-structured Transformation,dea-dt-04-semi-structured-transformation.png,src/assets/snowflake/data-engineer/d5-data-transformation/dea-dt-04-semi-structured-transformation.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dt-04-semi-structured-transformation/
DEA-DT-05,D5,5.5,"Unstructured, Semantic & Cortex Pipeline",dea-dt-05-unstructured-semantic-cortex-pipeline.png,src/assets/snowflake/data-engineer/d5-data-transformation/dea-dt-05-unstructured-semantic-cortex-pipeline.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dt-05-unstructured-semantic-cortex-pipeline/
DEA-DT-06,D5,5.6,Development Workflow & Code Management,dea-dt-06-development-workflow-code-management.png,src/assets/snowflake/data-engineer/d5-data-transformation/dea-dt-06-development-workflow-code-management.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dt-06-development-workflow-code-management/
DEA-DT-07,D5,5.7,Snowpark DataFrame Transformations,dea-dt-07-snowpark-dataframe-transformations.png,src/assets/snowflake/data-engineer/d5-data-transformation/dea-dt-07-snowpark-dataframe-transformations.png,/tecblog/topics/snowflake/data-engineer/diagrams/dea-dt-07-snowpark-dataframe-transformations/
